match_id,home_vote,away_vote
11698992,3,3
11698993,0,5
11698994,5,1
11698995,1,4
11698996,11,2
11698997,4,1
11698998,1,4
11698999,4,5
11699000,2,2
11699001,3,1
11699002,2,1
11699003,6,1
11699004,4,1
11699005,5,10
11699006,1,2
11699007,10,1
11699008,1,4
11699009,16,3
11699010,5,1
11699011,6,4
11699012,4,3
11699013,2,0
11699014,3,1
11699015,3,3
11699035,0,5
11699036,0,5
11699037,2,0
11699038,3,6
11699039,0,0
11699040,3,2
11699041,5,5
11699042,0,0
11699043,0,1
11699044,1,2
11699045,0,1
11699046,2,1
11699047,1,3
11699048,1,2
11699049,6,3
11699050,2,4
11699051,1,0
11699052,0,2
11699053,1,2
11699054,3,3
11699055,0,1
11699056,7,0
11699057,1,4
11699058,6,1
11699059,3,2
11699062,163,108
11699063,92,17
11699064,143,75
11699065,127,34
11699067,128,15
11699068,121,13
11699069,19,152
11699070,167,84
11699071,129,132
11699072,121,74
11699073,43,135
11699074,87,149
11699083,601,228
11699084,86,635
11699097,80,41
11699098,5,4
11699099,3,13
11699100,11,5
11699101,7,7
11699102,20,11
11699103,10,25
11699104,4,8
11699105,2,7
11699106,7,12
11699107,25,9
11699108,26,7
11699109,14,11
11699110,19,12
11699111,18,5
11699112,6,4
11699113,10,3
11699125,2,4
11699126,8,1
11699127,7,2
11699128,9,2
11699129,5,2
11699130,5,5
11699131,2,3
11699132,6,1
11699133,2,5
11699134,3,1
11699135,4,2
11699136,12,2
11699137,2,2
11699138,1,5
11699139,2,3
11699140,2,4
11699141,3,6
11699142,3,10
11699143,6,1
11699144,2,1
11699145,6,0
11699146,0,2
11699147,4,2
11699148,4,3
11699149,8,0
11699150,5,2
11699151,4,6
11699153,14,13
11699154,15,9
11699155,14,17
11699156,9,6
11699157,8,14
11699158,12,6
11699159,8,4
11699160,11,7
11699161,8,7
11699162,19,7
11699163,10,11
11699164,10,22
11699165,15,32
11699166,14,9
11699167,11,17
11699168,13,8
11699173,35,106
11699185,21,14
11699186,18,10
11699187,7,23
11699188,3,18
11699189,23,9
11699190,6,24
11699191,17,5
11699192,2,17
11699193,8,29
11699194,32,2
11699195,3,21
11699196,3,28
11699197,20,13
11699198,22,7
11699199,11,13
11699200,7,22
11699221,127,33
11699222,30,99
11699223,2,2
11699224,45,126
11699225,2,1
11699226,85,21
11699227,85,23
11699228,24,119
11699229,2,2
11699230,4,1
