match_id,period,statistic_category_name,statistic_name,home_stat,away_stat,compare_code,statistic_type,value_type,home_value,away_value,home_total,away_total
11674105,ALL,service,second_serve,38/39 (97%),40/41 (98%),2,positive,team,38,40,39.0,41.0
11674105,ALL,service,first_serve_points,65/75 (87%),60/80 (75%),1,positive,team,65,60,75.0,80.0
11674105,ALL,service,second_serve_points,24/39 (62%),27/41 (66%),2,positive,team,24,27,39.0,41.0
11674105,ALL,service,service_games_played,18,18,3,positive,event,18,18,,
11674105,ALL,service,break_points_saved,2/2 (100%),3/3 (100%),2,positive,team,2,3,2.0,3.0
11674105,ALL,points,total,123,112,1,positive,event,123,112,,
11674105,ALL,points,service_points_won,89,87,1,positive,event,89,87,,
11674105,ALL,points,receiver_points_won,34,25,1,positive,event,34,25,,
11674105,ALL,points,max_points_in_a_row,6,5,1,positive,event,6,5,,
11674105,ALL,games,total_won,20,19,1,positive,event,20,19,,
11674105,ALL,games,service_games_won,18,18,3,positive,event,18,18,,
11674105,ALL,games,max_games_in_a_row,2,1,1,positive,event,2,1,,
11674105,ALL,return,first_serve_return_points,20/80 (25%),10/75 (13%),1,positive,team,20,10,80.0,75.0
11674105,ALL,return,second_serve_return_points,14/41 (34%),15/39 (38%),2,positive,team,14,15,41.0,39.0
11674105,ALL,return,return_games_played,18,18,3,positive,event,18,18,,
11674105,ALL,return,break_points_converted,0,0,3,positive,event,0,0,,
11674105,ALL,miscellaneous,tiebreaks,2,1,1,positive,event,2,1,,
11674105,1ST,service,aces,6,6,3,positive,event,6,6,,
11674105,1ST,service,double_faults,1,0,1,negative,event,1,0,,
11674105,1ST,service,first_serve,32/44 (73%),27/48 (56%),1,positive,team,32,27,44.0,48.0
11674105,1ST,service,second_serve,11/12 (92%),21/21 (100%),2,positive,team,11,21,12.0,21.0
11674105,1ST,service,first_serve_points,28/32 (88%),21/27 (78%),1,positive,team,28,21,32.0,27.0
11674105,1ST,service,second_serve_points,5/12 (42%),14/21 (67%),2,positive,team,5,14,12.0,21.0
11674105,1ST,service,service_games_played,6,6,3,positive,event,6,6,,
11674105,1ST,service,break_points_saved,2/2 (100%),1/1 (100%),1,positive,team,2,1,2.0,1.0
11674105,1ST,points,service_points_won,33,35,2,positive,event,33,35,,
11674105,1ST,points,receiver_points_won,13,11,1,positive,event,13,11,,
11674105,1ST,points,max_points_in_a_row,5,4,1,positive,event,5,4,,
11674105,1ST,games,max_games_in_a_row,1,1,3,positive,event,1,1,,
11674105,1ST,return,first_serve_return_points,6/27 (22%),4/32 (12%),1,positive,team,6,4,27.0,32.0
11674105,1ST,return,second_serve_return_points,7/21 (33%),7/12 (58%),2,positive,team,7,7,21.0,12.0
11674105,1ST,return,return_games_played,6,6,3,positive,event,6,6,,
11674105,1ST,return,break_points_converted,0,0,3,positive,event,0,0,,
11674105,1ST,miscellaneous,tiebreaks,0,1,2,positive,event,0,1,,
11674105,2ND,service,aces,6,5,1,positive,event,6,5,,
11674105,2ND,service,double_faults,0,0,3,negative,event,0,0,,
11674105,2ND,service,first_serve,17/34 (50%),25/37 (68%),2,positive,team,17,25,34.0,37.0
11674105,2ND,service,second_serve,17/17 (100%),12/12 (100%),1,positive,team,17,12,17.0,12.0
11674105,2ND,service,first_serve_points,16/17 (94%),19/25 (76%),1,positive,team,16,19,17.0,25.0
11674105,2ND,service,second_serve_points,13/17 (76%),8/12 (67%),1,positive,team,13,8,17.0,12.0
11674105,2ND,service,service_games_played,6,6,3,positive,event,6,6,,
11674105,2ND,service,break_points_saved,0/0 (0%),2/2 (100%),2,positive,team,0,2,0.0,2.0
11674105,2ND,points,service_points_won,29,27,1,positive,event,29,27,,
11674105,2ND,points,receiver_points_won,10,5,1,positive,event,10,5,,
11674105,2ND,points,max_points_in_a_row,6,5,1,positive,event,6,5,,
11674105,2ND,games,max_games_in_a_row,1,1,3,positive,event,1,1,,
11674105,2ND,return,first_serve_return_points,6/25 (24%),1/17 (5%),1,positive,team,6,1,25.0,17.0
11674105,2ND,return,second_serve_return_points,4/12 (33%),4/17 (23%),1,positive,team,4,4,12.0,17.0
11674105,2ND,return,return_games_played,6,6,3,positive,event,6,6,,
11674105,2ND,return,break_points_converted,0,0,3,positive,event,0,0,,
11674105,2ND,miscellaneous,tiebreaks,1,0,1,positive,event,1,0,,
11674105,3RD,service,aces,6,5,1,positive,event,6,5,,
11674105,3RD,service,double_faults,0,1,2,negative,event,0,1,,
11674105,3RD,service,first_serve,26/36 (72%),28/36 (78%),2,positive,team,26,28,36.0,36.0
11674105,3RD,service,second_serve,10/10 (100%),7/8 (88%),1,positive,team,10,7,10.0,8.0
11674105,3RD,service,first_serve_points,21/26 (81%),20/28 (71%),1,positive,team,21,20,26.0,28.0
11674105,3RD,service,second_serve_points,6/10 (60%),5/8 (63%),2,positive,team,6,5,10.0,8.0
11674105,3RD,service,service_games_played,6,6,3,positive,event,6,6,,
11674105,3RD,service,break_points_saved,0/0 (0%),0/0 (0%),3,positive,team,0,0,0.0,0.0
11674105,3RD,points,service_points_won,27,25,1,positive,event,27,25,,
11674105,3RD,points,receiver_points_won,11,9,1,positive,event,11,9,,
11674105,3RD,points,max_points_in_a_row,5,4,1,positive,event,5,4,,
11674105,3RD,games,max_games_in_a_row,2,1,1,positive,event,2,1,,
11674105,3RD,return,first_serve_return_points,8/28 (28%),5/26 (19%),1,positive,team,8,5,28.0,26.0
11674105,3RD,return,second_serve_return_points,3/8 (37%),4/10 (40%),2,positive,team,3,4,8.0,10.0
