match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11698968,,,,,,
11698969,,,,,,
11698970,,,,,,
11698971,,,,,,
11698972,,,,,,
11698973,,,,,,
11698974,,,,,,
11698975,,,,,,
11698976,,,,,,
11698977,,,,,,
11698978,,,,,,
11698979,,,,,,
11698980,,,,,,
11698984,,,,,,
11698985,,,,,,
11698986,,,,,,
11698987,,,,,,
11698988,,,,,,
11698989,,,,,,
11698990,,,,,,
11698991,,,,,,
11698992,,,,,,
11698993,,,,,,
11698994,,,,,,
11698995,,,,,,
11698996,,,,,,
11698997,,,,,,
11698998,,,,,,
11698999,,,,,,
11699000,,,,,,
11699001,,,,,,
11699002,,,,,,
11699003,,,,,,
11699004,,,,,,
11699005,,,,,,
11699006,,,,,,
11699007,,,,,,
11699008,,,,,,
11699009,,,,,,
11699010,,,,,,
11699011,,,,,,
11699012,,,,,,
11699013,,,,,,
11699014,,,,,,
11699015,,,,,,
11699035,,,,,,
11699036,,,,,,
11699037,,,,,,
11699038,,,,,,
11699039,,,,,,
11699040,,,,,,
11699041,,,,,,
11699042,,,,,,
11699043,,,,,,
11699044,,,,,,
11699045,,,,,,
11699046,,,,,,
11699047,,,,,,
11699048,,,,,,
11699049,,,,,,
11699050,,,,,,
11699051,,,,,,
11699052,,,,,,
11699053,,,,,,
11699054,,,,,,
11699055,,,,,,
11699056,,,,,,
11699057,,,,,,
11699058,,,,,,
11699059,,,,,,
11699062,1881,1911,,,,1696163209
11699063,1910,1466,,,,1696157479
11699064,,,,,,
11699065,3333,2799,2400,,,1696166008
11699067,1417,3740,,,,1696156849
11699068,2380,2199,4558,,,1696170548
11699069,,,,,,1696150022
11699070,1479,3898,,,,1696170668
11699071,3158,3340,,,,1696173407
11699072,1894,1461,,,,1696167828
11699073,3192,1460,2763,,,1696162289
11699074,1784,3557,1771,,,1696155006
11699083,2431,3434,3294,,,1696257813
11699084,1600,2200,,,,1696249297
11699097,3656,3545,,,,1696170158
11699098,2488,4546,,,,1696169869
11699099,2744,3288,,,,1696170720
11699100,1630,3838,920,,,1696166144
11699101,1731,1585,,,,1696165076
11699102,2427,1935,,,,1696182820
11699103,2014,2314,,,,1696182661
11699104,1453,1717,,,,1696154700
11699105,2671,2600,902,,,1696153057
11699106,3003,4286,,,,1696158460
11699107,3288,2010,,,,1696177961
11699108,3346,2484,974,,,1696175652
11699109,2142,3583,1029,,,1696167968
11699110,2121,2958,,,,1696179380
11699111,2008,2463,,,,1696149957
11699112,2865,2768,1059,,,1696153616
11699113,2811,3957,,,,1696157628
11699125,,,,,,
11699126,,,,,,
11699127,,,,,,
11699128,,,,,,
11699129,,,,,,
11699130,,,,,,
11699131,,,,,,
11699132,,,,,,
11699133,,,,,,
11699134,,,,,,
11699135,,,,,,
